日期,正常购电成本,紧急购电成本,紧急购电量,弃电量,日总成本,日终计划SOC,日终实际SOC,实际再调度电量
2025-02-01,53160.82730940872,0.0,0.0,30017.954220852676,53160.82730940872,1200.0,8205.319902844816,19450.29850158066
2025-02-02,42252.42199832814,6037.599532199603,1286.8940704000006,113.49782803333346,48290.02153052774,1200.0,1200.0,6161.171140099996
2025-02-03,54414.092665410884,131.8994723061665,28.470391166666673,798.1217455000003,54545.992137717054,1200.0,1347.5412383888897,3389.7910371666676
2025-02-04,60102.664187518225,0.0,0.0,3499.7166909000007,60102.664187518225,1200.0,2479.0025601922202,4880.691350600002
2025-02-05,63377.60464070071,0.0,0.0,6291.135375466667,63377.60464070071,1200.0,3060.05592498815,6825.960428933334
2025-02-06,65484.1652490325,0.0,0.0,7318.741333016876,65484.1652490325,1200.0,3409.1089526081482,9236.121865183128
2025-02-07,66027.85515785149,0.0,0.0,43103.06364081646,66027.85515785149,1200.0,10073.60131120778,22802.571283383535
2025-02-08,48073.343150284905,0.0,0.0,28753.035246060084,48073.343150284905,1200.0,8077.1241996499975,18953.412381439917
2025-02-09,39926.90482212711,14167.305563262442,3005.1201038333315,0.0,54094.21038538955,1200.0,1200.0,9014.808084266662
2025-02-10,53380.52558239493,306.0339145894207,101.3272268109998,3186.017389818109,53686.559496984344,1200.0,1200.0,4469.416204270891
2025-02-11,57726.69438167468,0.0,0.0,5288.6155454,57726.69438167468,1200.0,2391.743622957037,5536.059287066668
2025-02-12,60090.948421156296,0.0,0.0,6602.025649400002,60090.948421156296,1200.0,3020.3763373488887,7657.823637633334
2025-02-13,61960.78766009858,0.0,0.0,9659.719406590535,61960.78766009858,1200.0,3547.7260818481454,11067.71446507613
2025-02-14,61098.228455173434,0.0,0.0,39117.39317422468,61098.228455173434,1200.0,10356.763102306671,22316.85261430865
2025-02-15,44479.21692705876,0.0,0.0,27748.111654157,44479.21692705876,1200.0,7825.378560752223,17746.007152876333
2025-02-16,37399.065168276284,14910.787675420395,3150.5660580999993,0.0,52309.85284369668,1200.0,1212.789087,8074.257486866666
2025-02-17,50255.332387847695,20.48247576859954,3.3506421999999247,2667.0977359707827,50275.814863616295,1200.0,1225.736150754075,3899.107857895886
2025-02-18,54801.87995549948,0.0,0.0,4113.726022534978,54801.87995549948,1200.0,2722.5397522277754,6229.5396686316835
